SAMPLE;FARM_V;SET;PIGID;WEEKAW;ZINK;PWD;HEALTHY
VISSGA0100;FARM_V;A;1;0;NO;NO;YES
VISSGA0103;FARM_V;A;1;3;NO;NO;YES
VISSGA0107;FARM_V;A;1;7;NO;NO;YES
VISSGA0110;FARM_V;A;1;10;NO;NO;YES
VISSGA0114;FARM_V;A;1;14;NO;NO;YES
VISSGA0121;FARM_V;A;1;21;NO;NO;YES
VISSGA0200;FARM_V;A;2;0;NO;NO;YES
VISSGA0203;FARM_V;A;2;3;NO;NO;YES
VISSGA0207;FARM_V;A;2;7;NO;NO;YES
VISSGA0210;FARM_V;A;2;10;NO;NO;YES
VISSGA0214;FARM_V;A;2;14;NO;NO;YES
VISSGA0221;FARM_V;A;2;21;NO;NO;YES
VISSGA0300;FARM_V;A;3;0;NO;NO;YES
VISSGA0303;FARM_V;A;3;3;NO;NO;YES
VISSGA0307;FARM_V;A;3;7;NO;NO;YES
VISSGA0310;FARM_V;A;3;10;NO;NO;YES
VISSGA0314;FARM_V;A;3;14;NO;NO;YES
VISSGA0321;FARM_V;A;3;21;NO;NO;YES
VISSGA0400;FARM_V;A;4;0;NO;NO;YES
VISSGA0403;FARM_V;A;4;3;NO;NO;YES
VISSGA0407;FARM_V;A;4;7;NO;NO;YES
VISSGA0410;FARM_V;A;4;10;NO;NO;YES
VISSGA0414;FARM_V;A;4;14;NO;NO;YES
VISSGA0421;FARM_V;A;4;21;NO;NO;YES
VISSGB0500;FARM_V;B;5;0;NO;NO;YES
VISSGB0503;FARM_V;B;5;3;NO;NO;YES
VISSGB0507;FARM_V;B;5;7;NO;NO;YES
VISSGB0510;FARM_V;B;5;10;NO;NO;YES
VISSGB0514;FARM_V;B;5;14;NO;NO;YES
VISSGB0521;FARM_V;B;5;21;NO;NO;YES
VISSGB0600;FARM_V;B;6;0;NO;NO;YES
VISSGB0603;FARM_V;B;6;3;NO;NO;YES
VISSGB0607;FARM_V;B;6;7;NO;NO;YES
VISSGB0610;FARM_V;B;6;10;NO;NO;YES
VISSGB0614;FARM_V;B;6;14;NO;NO;YES
VISSGB0621;FARM_V;B;6;21;NO;NO;YES
VISSGB0700;FARM_V;B;7;0;NO;NO;YES
VISSGB0703;FARM_V;B;7;3;NO;NO;YES
VISSGB0707;FARM_V;B;7;7;NO;NO;YES
VISSGB0710;FARM_V;B;7;10;NO;NO;YES
VISSGB0714;FARM_V;B;7;14;NO;NO;YES
VISSGB0721;FARM_V;B;7;21;NO;NO;YES
VISSGB0800;FARM_V;B;8;0;NO;NO;YES
VISSGB0803;FARM_V;B;8;3;NO;NO;YES
VISSGB0807;FARM_V;B;8;7;NO;NO;YES
VISSGB0810;FARM_V;B;8;10;NO;NO;YES
VISSGB0814;FARM_V;B;8;14;NO;NO;YES
VISSGB0821;FARM_V;B;8;21;NO;NO;YES
VISSGC0200;FARM_V;C;2;0;NO;NO;YES
VISSGC0203;FARM_V;C;2;3;NO;NO;YES
VISSGC0207;FARM_V;C;2;7;NO;NO;YES
VISSGC0210;FARM_V;C;2;10;NO;NO;YES
VISSGC0214;FARM_V;C;2;14;NO;NO;YES
VISSGC0221;FARM_V;C;2;21;NO;NO;YES
VISSGC0300;FARM_V;C;3;0;NO;NO;YES
VISSGC0303;FARM_V;C;3;3;NO;NO;YES
VISSGC0307;FARM_V;C;3;7;NO;NO;YES
VISSGC0310;FARM_V;C;3;10;NO;NO;YES
VISSGC0314;FARM_V;C;3;14;NO;NO;YES
VISSGC0321;FARM_V;C;3;21;NO;NO;YES
VISSGC0400;FARM_V;C;4;0;NO;NO;YES
VISSGC0403;FARM_V;C;4;3;NO;NO;YES
VISSGC0407;FARM_V;C;4;7;NO;NO;YES
VISSGC0410;FARM_V;C;4;10;NO;NO;YES
VISSGC0414;FARM_V;C;4;14;NO;NO;YES
VISSGC0421;FARM_V;C;4;21;NO;NO;YES
VISSGD0100;FARM_V;D;1;0;NO;NO;YES
VISSGD0103;FARM_V;D;1;3;NO;NO;YES
VISSGD0107;FARM_V;D;1;7;NO;NO;YES
VISSGD0110;FARM_V;D;1;10;NO;NO;YES
VISSGD0114;FARM_V;D;1;14;NO;NO;YES
VISSGD0121;FARM_V;D;1;21;NO;NO;YES
VISSGD0500;FARM_V;D;5;0;NO;NO;YES
VISSGD0503;FARM_V;D;5;3;NO;NO;YES
VISSGD0507;FARM_V;D;5;7;NO;NO;YES
VISSGD0510;FARM_V;D;5;10;NO;NO;YES
VISSGD0514;FARM_V;D;5;14;NO;NO;YES
VISSGD0521;FARM_V;D;5;21;NO;NO;YES
VISSGD0600;FARM_V;D;6;0;NO;NO;YES
VISSGD0603;FARM_V;D;6;3;NO;NO;YES
VISSGD0607;FARM_V;D;6;7;NO;NO;YES
VISSGD0610;FARM_V;D;6;10;NO;NO;YES
VISSGD0614;FARM_V;D;6;14;NO;NO;YES
VISSGD0621;FARM_V;D;6;21;NO;NO;YES
VISSGD0700;FARM_V;D;7;0;NO;NO;YES
VISSGD0703;FARM_V;D;7;3;NO;NO;YES
VISSGD0707;FARM_V;D;7;7;NO;NO;YES
VISSGD0710;FARM_V;D;7;10;NO;NO;YES
VISSGD0714;FARM_V;D;7;14;NO;NO;YES
VISSGD0721;FARM_V;D;7;21;NO;NO;YES
VISSGD0800;FARM_V;D;8;0;NO;NO;YES
VISSGD0803;FARM_V;D;8;3;NO;NO;YES
VISSGD0807;FARM_V;D;8;7;NO;NO;YES
VISSGD0810;FARM_V;D;8;10;NO;NO;YES
VISSGD0814;FARM_V;D;8;14;NO;NO;YES
VISSGD0821;FARM_V;D;8;21;NO;NO;YES
NORSEA0100-pwd;FARM_N;A;1;0;NO;YES;YES
NORSEA0103-pwd;FARM_N;A;1;3;NO;YES;YES
NORSEA0107-pwd;FARM_N;A;1;7;NO;YES;YES
NORSEA0110-pwd;FARM_N;A;1;10;NO;YES;YES
NORSEA0114-pwd;FARM_N;A;1;14;NO;YES;YES
NORSEA0121-pwd;FARM_N;A;1;21;NO;YES;YES
NORSEA0200-pwd;FARM_N;A;2;0;NO;YES;YES
NORSEA0203-pwd;FARM_N;A;2;3;NO;YES;YES
NORSEA0207-pwd;FARM_N;A;2;7;NO;YES;YES
NORSEA0210-pwd;FARM_N;A;2;10;NO;YES;YES
NORSEA0214-pwd;FARM_N;A;2;14;NO;YES;YES
NORSEA0221-pwd;FARM_N;A;2;21;NO;YES;YES
