Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
10019	23.9	0.02	Neural Network (Specific Model)	11	0.91	3002	278.4346764346764	750764	0.47	819	242	11071	None
100321	6.98	0.05	Neural Network (Specific Model)	11	0.98	4564	1068.8245614035088	373037	0.41	114	86	38320	None
1007	92.92	109.54	Neural Network (Specific Model)	11	0.884	9335	308.55979604449936	6765121	0.41	6472	928	46792	None
102	97.54	13.95	Neural Network (Specific Model)	11	0.939	43854	355.10222672064776	2238341	0.56	1976	175	133009	None
10300	7.48	0.28	Neural Network (Specific Model)	11	0.943	6976	305.6706231454006	325449	0.51	337	54	24332	None
10600	34.05	2.51	Neural Network (Specific Model)	11	0.924	3446	263.2717391304348	627975	0.43	736	183	10576	None
10772	47.17	0.92	Neural Network (Specific Model)	11	0.933	3181	326.619094488189	1065128	0.58	1016	325	10427	None
1091	86.49	27.23	Gradient Boost (General Model)	11	0.894	6148	275.5168574079802	2984700	0.59	3233	556	44806	None
11478	10.43	0.0	Neural Network (Specific Model)	11	0.893	4051	342.77152317880797	347022	0.46	302	88	12419	None
1168	82.01	7.31	Neural Network (Specific Model)	11	0.918	6669	362.76440366972474	3227092	0.43	2725	583	43284	None
1282	65.15	3.17	Neural Network (Specific Model)	11	0.858	4747	298.44950738916253	1692414	0.65	1624	397	23657	None
13167	0.45	33.26	Neural Network (Specific Model)	11	0.926	3383	281.23201174743025	619732	0.38	681	178	11820	None
132	96.87	0.63	Gradient Boost (General Model)	11	0.914	76506	324.4956195244055	1698796	0.41	1598	34	204762	None
1335	69.67	78.56	Neural Network (Specific Model)	11	0.927	4171	305.1845039018952	10610158	0.41	10764	2662	40881	None
1347	5.22	0.02	Neural Network (Specific Model)	11	0.906	40732	227.3876404494382	267182	0.6	356	21	40732	None
13770	12.37	0.02	Neural Network (Specific Model)	11	0.89	47690	301.0242914979757	250120	0.48	247	10	78840	None
14	0.0	49.36	Neural Network (Specific Model)	11	0.91	117331	331.076961026147	6632577	0.67	6081	73	295390	None
1408	96.51	0.51	Gradient Boost (General Model)	11	0.88	11996	305.7289552238806	1743120	0.61	1675	186	39922	None
1446	99.39	95.35	Gradient Boost (General Model)	11	0.915	4690	295.2768462361755	5415834	0.48	5606	1243	39407	None
14631	10.31	0.33	Neural Network (Specific Model)	11	0.922	2868	281.25555555555553	328731	0.42	360	113	8193	None
14706	16.11	0.64	Neural Network (Specific Model)	11	0.892	2722	249.6546906187625	419860	0.63	501	155	6889	None
15199	50.85	9.4	Gradient Boost (General Model)	11	0.95	2667	296.20230700976043	1052404	0.43	1127	377	7953	None
15536	30.43	10.81	Neural Network (Specific Model)	11	0.946	2947	332.1049180327869	320600	0.3	305	106	7835	None
160	97.4	0.34	Gradient Boost (General Model)	11	0.891	44408	326.4055644729802	2049629	0.48	1869	75	101782	None
162	95.83	11.02	Gradient Boost (General Model)	11	0.914	21728	311.38099506947555	2275812	0.44	2231	231	101613	None
1622	95.91	85.09	Gradient Boost (General Model)	11	0.907	5458	292.19565592139287	5599971	0.53	5801	1165	37210	None
16220	44.92	9.85	Gradient Boost (General Model)	11	0.892	2840	253.20014771048744	1151381	0.52	1354	403	7575	None
1632	99.32	103.32	Gradient Boost (General Model)	11	0.916	5563	291.8852987284445	10946511	0.44	11482	2250	37120	None
1690	2.48	106.53	Neural Network (Specific Model)	11	0.945	5277	311.85843441150047	17603227	0.44	17808	3828	50522	None
