Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
101890	2.47	0.0	Neural Network (Specific Model)	11	0.877	4696	227.53846153846155	60452	0.37	78	15	11098	None
10718	4.28	0.11	Neural Network (Specific Model)	11	0.835	5345	274.1485148514852	99423	0.46	101	22	10476	None
1101	2.62	0.0	Neural Network (Specific Model)	11	0.938	44520	254.5818181818182	44520	0.5	55	1	44520	None
11012	2.65	0.0	Neural Network (Specific Model)	11	0.939	5482	201.6341463414634	26299	0.38	41	4	10241	None
11466	2.76	0.01	Neural Network (Specific Model)	11	0.946	8961	378.27272727272725	26371	0.38	22	4	9907	None
11468	2.37	0.0	Neural Network (Specific Model)	11	0.88	9903	191.05797101449275	44837	0.42	69	8	15779	None
11799	2.43	0.03	Neural Network (Specific Model)	11	0.937	8996	315.72222222222223	36374	0.66	36	6	9664	None
13059	2.8	0.17	Neural Network (Specific Model)	11	0.949	5246	390.8181818181818	54285	0.36	44	12	8911	None
132524	2.83	0.01	Neural Network (Specific Model)	11	0.942	3537	306.40625	31180	0.53	32	9	6550	None
1335	69.64	78.35	Neural Network (Specific Model)	11	0.927	4171	305.22821036981975	10610158	0.41	10762	2662	40881	None
1338	3.14	0.0	Neural Network (Specific Model)	11	0.891	40861	405.5	40861	0.49	30	1	40861	None
1347	5.22	0.02	Neural Network (Specific Model)	11	0.906	40732	227.3876404494382	267182	0.6	356	21	40732	None
139924	3.48	0.0	Neural Network (Specific Model)	11	0.831	4189	221.95876288659792	154682	0.53	194	41	11564	None
14208	2.88	0.0	Neural Network (Specific Model)	11	0.784	6366	201.41772151898735	60733	0.41	79	12	8377	None
14805	2.53	0.0	Neural Network (Specific Model)	11	0.723	6447	178.70833333333334	35433	0.63	48	6	8119	None
1517	2.6	0.0	Neural Network (Specific Model)	11	0.92	38537	215.6909090909091	38537	0.61	55	1	38537	None
1603	2.57	0.0	Neural Network (Specific Model)	11	0.891	37465	165.37333333333333	41527	0.51	75	2	37465	None
1623	2.48	0.0	Neural Network (Specific Model)	11	0.917	37209	316.7659574468085	48603	0.56	47	2	37209	None
1632	99.18	103.0	Gradient Boost (General Model)	11	0.916	5563	291.86580161978577	10946511	0.44	11483	2250	37120	None
1699	5.53	0.36	Neural Network (Specific Model)	11	0.908	32320	285.0945945945946	207590	0.48	222	18	36247	None
18	92.85	43.71	Gradient Boost (General Model)	11	0.901	42329	316.9690949227373	2387215	0.43	2265	101	261346	None
182297	31.2	16.66	Neural Network (Specific Model)	11	0.89	3436	285.96404019037544	1817068	0.37	1891	516	25483	None
18778	2.47	0.0	Neural Network (Specific Model)	11	0.741	2693	258.16326530612247	49935	0.46	49	18	6824	None
191342	2.98	0.01	Neural Network (Specific Model)	11	0.952	3226	225.01639344262296	86327	0.42	122	29	4531	None
19847	2.49	0.0	Neural Network (Specific Model)	11	0.948	3763	198.9438202247191	55650	0.64	89	15	6568	None
2035	3.27	0.0	Neural Network (Specific Model)	11	0.908	18476	211.7089947089947	131067	0.47	189	9	32553	None
2049	3.0	0.03	Neural Network (Specific Model)	11	0.906	26292	221.68269230769232	75984	0.44	104	5	32377	None
209797	58.98	13.85	Gradient Boost (General Model)	11	0.905	26833	214.45569620253164	1285681	0.42	1817	112	77497	None
209837	6.83	0.18	Neural Network (Specific Model)	11	0.791	12555	201.1439205955335	306879	0.35	403	35	102694	None
209927	19.56	6.62	Neural Network (Specific Model)	11	0.923	31532	214.69847328244273	909155	0.45	1310	83	78462	None
209951	11.56	3.84	Neural Network (Specific Model)	11	0.897	7546	216.2799442896936	517549	0.42	718	85	72978	None
209984	19.54	6.36	Neural Network (Specific Model)	11	0.909	23149	201.72481572481573	808995	0.42	1221	69	67830	None
209995	12.7	0.75	Neural Network (Specific Model)	11	0.917	9584	208.12368728121353	580369	0.43	857	88	64803	None
210005	16.68	0.47	Neural Network (Specific Model)	11	0.915	40770	225.5112582781457	555694	0.49	755	28	63583	None
210090	4.94	0.08	Neural Network (Specific Model)	11	0.87	18865	180.67605633802816	264155	0.39	426	25	56951	None
210254	2.91	7.1	Neural Network (Specific Model)	11	0.883	24608	237.72781065088756	136436	0.4	169	9	47503	None
210471	3.59	0.0	Neural Network (Specific Model)	11	0.931	11651	283.3766233766234	140095	0.34	154	19	40491	None
210498	2.57	0.0	Neural Network (Specific Model)	11	0.893	39887	130.65217391304347	39887	0.27	92	1	39887	None
210539	82.76	87.52	Gradient Boost (General Model)	11	0.926	5722	301.25297569153395	5813302	0.42	5965	1166	38992	None
210568	2.41	0.0	Neural Network (Specific Model)	11	0.896	38602	257.1333333333333	38602	0.39	45	1	38602	None
210756	2.54	0.0	Neural Network (Specific Model)	11	0.949	35461	239.70212765957447	35461	0.55	47	1	35461	None
210799	3.81	0.0	Neural Network (Specific Model)	11	0.934	12441	176.64830508474577	133282	0.59	236	19	34786	None
210907	3.32	0.01	Neural Network (Specific Model)	11	0.9	27046	210.16504854368932	71972	0.54	103	4	33044	None
210973	2.85	0.01	Neural Network (Specific Model)	11	0.885	32199	278.1509433962264	49871	0.4	53	2	32199	None
211005	8.54	0.28	Neural Network (Specific Model)	11	0.873	6590	271.01892744479494	294722	0.42	317	55	31800	None
211063	2.32	0.0	Neural Network (Specific Model)	11	0.703	30908	134.64814814814815	30908	0.45	54	1	30908	None
211066	3.88	0.01	Neural Network (Specific Model)	11	0.887	8610	173.12871287128712	117421	0.4	202	19	30758	None
211072	2.35	0.0	Neural Network (Specific Model)	11	0.928	30625	317.1333333333333	30625	0.41	30	1	30625	None
211205	2.53	0.0	Neural Network (Specific Model)	11	0.906	28959	380.7826086956522	28959	0.43	23	1	28959	None
211240	15.7	0.61	Neural Network (Specific Model)	11	0.95	6622	260.5171673819743	381049	0.34	466	66	28596	None
211295	2.92	0.01	Neural Network (Specific Model)	11	0.854	12097	249.88198757763976	140814	0.53	161	18	27816	None
211316	3.19	0.0	Neural Network (Specific Model)	11	0.915	27597	255.98333333333332	50190	0.51	60	3	27597	None
211444	2.42	0.0	Neural Network (Specific Model)	11	0.755	26207	123.16666666666667	26207	0.42	54	1	26207	None
211613	3.87	0.0	Neural Network (Specific Model)	11	0.799	24835	165.8768115942029	171039	0.39	276	13	80492	None
211684	4.01	0.17	Neural Network (Specific Model)	11	0.953	11095	204.86285714285714	112395	0.38	175	17	24775	None
211738	3.48	0.0	Neural Network (Specific Model)	11	0.903	21313	176.30597014925374	78086	0.39	134	6	23819	None
211818	5.96	0.36	Neural Network (Specific Model)	11	0.928	5472	199.94812680115274	222909	0.39	347	48	23211	None
211857	2.52	0.0	Neural Network (Specific Model)	11	0.885	22829	239.66666666666666	26578	0.48	33	2	22829	None
211965	9.85	0.22	Neural Network (Specific Model)	11	0.921	4916	316.95064935064937	396701	0.36	385	90	22103	None
211972	6.67	0.69	Neural Network (Specific Model)	11	0.852	5336	311.6888111888112	313832	0.48	286	68	22032	None
212059	4.46	0.06	Neural Network (Specific Model)	11	0.92	12204	182.0979020979021	84322	0.48	143	11	21487	None
212088	2.99	0.0	Neural Network (Specific Model)	11	0.939	14926	232.85714285714286	51827	0.37	70	4	21365	None
212180	7.3	0.07	Neural Network (Specific Model)	11	0.824	5504	174.74468085106383	268433	0.35	423	58	20820	None
212244	3.55	0.0	Neural Network (Specific Model)	11	0.927	9837	264.63963963963965	94849	0.38	111	13	20438	None
212270	6.71	0.76	Neural Network (Specific Model)	11	0.873	4323	289.0	264617	0.55	267	67	20313	None
212383	3.36	0.4	Neural Network (Specific Model)	11	0.83	19762	238.74418604651163	36985	0.49	43	5	19762	None
21244	23.74	8.48	Neural Network (Specific Model)	11	0.932	4208	323.1702741702742	719320	0.39	693	178	22023	None
212440	5.89	0.08	Neural Network (Specific Model)	11	0.835	8572	289.94190871369295	250529	0.52	241	39	19472	None
212451	3.47	0.0	Neural Network (Specific Model)	11	0.914	15376	207.51724137931035	78868	0.41	116	7	19395	None
212522	2.84	0.01	Neural Network (Specific Model)	11	0.929	18706	264.18823529411765	72240	0.42	85	7	19022	None
212650	5.83	0.01	Neural Network (Specific Model)	11	0.86	8473	196.45627376425855	179790	0.33	263	29	18429	None
212707	2.77	0.0	Neural Network (Specific Model)	11	0.932	9659	194.95180722891567	51825	0.56	83	6	18209	None
212763	2.83	0.26	Neural Network (Specific Model)	11	0.829	11933	174.8613445378151	149210	0.52	238	20	18009	None
212936	5.09	2.08	Neural Network (Specific Model)	11	0.843	7581	294.42857142857144	204615	0.53	196	34	17428	None
212988	2.53	0.0	Neural Network (Specific Model)	11	0.949	17266	229.7826086956522	33252	0.48	46	2	17266	None
213124	5.27	0.09	Neural Network (Specific Model)	11	0.92	4555	201.48579545454547	230191	0.4	352	54	14934	None
213125	3.89	0.21	Neural Network (Specific Model)	11	0.85	13261	202.24117647058824	120605	0.48	170	17	16756	None
213154	3.04	0.0	Neural Network (Specific Model)	11	0.949	14091	197.63492063492063	38986	0.49	63	3	16686	None
